2026-09-10 20:04:59,282 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=GOLD_EXPORT attempt=1 (job_id=38)
2026-09-10 20:04:59,287 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> RUNNING
2026-09-10 20:04:59,307 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=58 scene=24 band=NDVI tier=GOLD level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndvi.tif
2026-09-10 20:04:59,316 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=36 parent=57 →[GOLD_EXPORT]→ child=58
2026-09-10 20:04:59,321 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> SUCCESS
2026-09-10 20:04:59,325 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=DOWNLOAD attempt=1 (job_id=37)
2026-09-10 20:04:59,351 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=59 scene=24 band=NDWI tier=SILVER level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndwi.tif
2026-09-10 20:04:59,366 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=GOLD_EXPORT attempt=1 (job_id=38)
2026-09-10 20:04:59,370 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> RUNNING
2026-09-10 20:04:59,394 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=60 scene=24 band=NDWI tier=GOLD level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndwi.tif
2026-09-10 20:04:59,401 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=37 parent=59 →[GOLD_EXPORT]→ child=60
2026-09-10 20:04:59,404 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> SUCCESS
2026-09-10 20:04:59,404 INFO    [Thread-73 (_pipeline_worker)] etl.module8_gpm_download [M8] dataset_id=20 level=['RAW'] window=['24h'] granule_hari=1
2026-09-10 20:04:59,423 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 9, "dataset_id": 20, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "GPM 24h: selesai (1 hari)", "window": "24h", "days_aggregated": 1}
2026-09-10 20:04:59,429 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 10, "dataset_id": 20, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD_SUMMARY", "status": "COMPLETED", "message": "GPM selesai: 1/1 produk", "windows_ok": ["24h"], "windows_failed": [], "quality": "GOOD"}
2026-09-10 20:04:59,430 INFO    [Thread-73 (_pipeline_worker)] etl.module8_gpm_download [M8] selesai: 1/1 produk rainfall dibuat untuk dataset_id=20 tanggal=2024-03-05
2026-09-10 20:04:59,438 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [SCENE] Registered scene_id=25 pid=NASA_AUX_GPM_20_20240305 acq=2024-03-05T00:00:00+00:00
2026-09-10 20:04:59,452 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=39 scene=25 stage=DOWNLOAD attempt=1
2026-09-10 20:04:59,459 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [NASA] Registered nasa_scene_id=2 source=GPM tile=GLOBAL date=2024-03-05
2026-09-10 20:04:59,492 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=61 scene=25 band=RAIN_24H tier=BRONZE level=RAW source=GPM dataset=20 file=gpm_rain_24h_20240305.tif
2026-09-10 20:04:59,500 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 11, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "STARTED", "message": "Fusing multi-modal data into H5", "layers": ["gpm/rainfall_daily", "modis/FLOOD", "modis/NDVI", "modis/NDWI", "sentinel1/VH", "sentinel1/VV"], "processing_levels": ["PROCESSED"]}
